"entry_id","comments","score"
"41085","a:1:{s:8:""comment4"";a:2:{i:0;s:213:""Revision of international business strategy focusing on prioritized key markets  rather than adhoc implementations. Teams getting together in business planning. Could make several of key B2B contact in key markets"";i:1;s:184:""A joint/ complementary approach L&amp;D and membership together for international would work better. I don't think there's any membership staff assigned particularly for international."";}}","86.000"
"41083","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","42.250"
"41082","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","86.300"
"41081","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","48.100"
"41078","a:1:{s:8:""comment4"";a:2:{i:0;s:56:""The closure of the HEQ was well planned and implemented."";i:1;s:19:""It was at its best."";}}","62.960"
"41077","a:1:{s:8:""comment4"";a:2:{i:0;s:45:""Joining BCS and working with colleagues again"";i:1;s:198:""Specific induction on how best to use the IT communication tools eg email versus chat and how best to improve connectivity for virtual meetings eg use browser rather than a teams, turn off video etc"";}}","100.000"
"41075","a:1:{s:8:""comment4"";a:2:{i:0;s:66:""Day-to-day diary management for 3 senior members of the Exec Team."";i:1;s:44:""improve the car park situation






"";}}","100.000"
"41073","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","0.000"
"41072","a:1:{s:8:""comment4"";a:2:{i:0;s:220:""It's hard to identify anything really as the last 12 months have felt like a massive uphill battle. The IT Team continue to do do their best despite being shown little respect by certain members of the senior management."";i:1;s:441:""Listen to the advice, knowledge and expertise of the people you employ a job to do.
We have many directors across the organisation yet despite being the membership body for IT professionals, we have no IT representative at exec level. Employ an IT Director.
Get rid of the 'them and us' culture.
Stop the shadow IT culture that is being perpetuated by the Executive Team.
Decide what we want to be as an organisation and stick to it.

"";}}","59.380"
"41070","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","59.980"
"41069","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","63.100"
"41068","a:1:{s:8:""comment4"";a:2:{i:0;s:154:""not a lot really
i want to say i am proud to work at BCS for what we are about not for what goes on behind closed doors as it feels utter chaos at times "";i:1;s:80:""sort out what or who we are, we are becoming jack of all trades master of none! "";}}","40.550"
"41066","a:1:{s:8:""comment4"";a:2:{i:0;s:150:""we have had more work and profit coming through our team but that in effect has tested the team as not enough members in team to do the volume of work"";i:1;s:795:""You need to invest in more staff in Apprenticeship, the volume of work is excessive and relentless . This has affected the well being of the team. You rely on good will from the team to get through the volumes. Management needs to spend a few days in that team to see the challenges we face every day and understand how time consuming each process is and why the work load is huge in volume with only a small team to do the work and why the is to much pressure.  Senior Management have no clue the volumes and pressure this team deal with day in and day out, they are just interested in Stats and figures. In fact do they actually care about the team , including their well being and mental health resulted from the pressures of a small team dealing  excessive work volumes and not enough staff."";}}","26.640"
"41065","a:1:{s:8:""comment4"";a:2:{i:0;s:0:"""";i:1;s:0:"""";}}","70.000"
